speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"House of Representatives. Friday, SI July, lBkk",12
1,Mr SPEAXEB,Unknown,"Hon. 3. S. Eosevear) took the chair at 10.30 a.m., and read prayers. MAN-POWER, REVIEW OF ALLOCATIONS. Mr. MORGAN,- I have learned recently that many workers in industry, some of them young single men, have volunteered for active service and have been accepted as A l medically, but, because of the selfish attitude of their employers, have not heen able to obtain the necessary release that would enable them to enlist. My inquiries satisfy me that these men are not so essential to industry as their employers contend that they are. On the other hand, some members of .the forces who have had active service extending over a period of three or four years cannot obtain their discharge from the Army, even though they may be B class or married men with domestic obligations. Will the Prime Minister have an Independent survey made of the position, in order to ascertain whether or not it may be practicable to release from industry men who wish to join the fighting services, and thus enable them to replace others with long service who, because of their obligations, wish to return to civilian life?",12
2,Mr CURTIN,Unknown,"In the statement which I made to Parliament regarding the rebalancing of the Australian waT effort, I said that certain tasks had been given to the Defence Committee, the War Commitments Committee, and the Production Executive. The Cabinet, of course, has the final responsibility. The matters that are being considered include a revision of the list of protected industries. I shall endeavour to ascertain whether or not the examination should be extended so as to embrace a survey of the desirability or otherwise of associating, with the protection of an industry, a provision for selectivity in relation to thepersons who should be retained or released. NA REFERENDUM. PROPAGANDA : BROADCASTING-SCRUTINEERS-ABSENTE E VOTERS.",12
3,Mr HOLT,CONSTITUTIO N ALTERATION,"Can the Treasurer in Government. form the House of the total amount that has heen set aside 'by the Government for expenditure in connection with the presentation to the electors of the "" Yes "" side in the forthcoming referendum campaign? Can the honourable gentleman also explain why the normal parliamentary practice of obtaining the approval of the Parliament of a specific expenditure of this kind has not been followed?",13
4,Mr CHIFLEY,CONSTITUTIO N ALTERATION,I can see no reason Reconstruction. for assuming that the Executive of this Parliament is not justified in devoting certain portion of Consolidated Revenue issued. to the purpose of placing before the people matters which the Parliament decided are of urgent national importinformation ance.,13
5,Mr MENZIES,CONSTITUTIO N ALTERATION,All party propaganda could be charged to the treasury account for the same reason.,13
6,Mr CHIFLEY,CONSTITUTIO N ALTERATION,"I do not think so. Party propaganda embodies the question of entrusting the, government of the country to one party, whereas, in this case, the Parliament has decided that certain proposals are in the national interest.",13
7,Mr MCEWEN,CONSTITUTIO N ALTERATION,^ A II that the Parliament decided was that a certain question should be submitted to the people. Mr MENZIES.'-And that both the question should be placed before the people.,13
8,Mr CHIFLEY,CONSTITUTIO N ALTERATION,"I have expressed the opinion that I hold. I am unable, at the moment, to state exactly the amount which may be expended by the Governlook ment in the presentation of the matter the people, but I should say that it will be less than £50,000. That does not include the cost of the ""Yes-No"" phlet for which the Constitution provides, or the cost of taking the referendum. have inquired of the Minister for the Interior, and understand that generally the cost of an election is approximately £100,000. The cost of the ""Yes-No"" pamphlet will be approximately £25,000, and the cost of presenting the question to the people on behalf of this Parliament",13
9,Mr MENZIES,CONSTITUTIO N ALTERATION,"What the honourable gentleman means is, on behalf of the",13
